,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Arkansas,30,14,16,0.467,3.79,3.89,2,14,12,6,1,9,2238,2213,,,,0.373,0.334,0.522,51.1,48.9,,5.6,0.493,16.4,,0.243
Army,30,11,19,0.367,-10.11,-7.59,6,8,7,7,4,12,1741,1823,,,,0.292,0.279,0.499,45.6,61.5,,5.8,0.467,20.8,,0.202
Auburn,36,24,12,0.667,9.93,3.56,10,6,18,4,5,5,2620,2354,,,,0.379,0.393,0.525,49.9,54.6,,7.1,0.504,15.8,,0.23
Austin Peay,33,19,14,0.576,-4.2,-3.69,13,5,9,5,9,7,2485,2449,,,,0.379,0.328,0.561,49.6,54.9,,6.4,0.531,16.8,,0.261
Ball State,31,14,17,0.452,-5.5,-3.02,7,9,10,6,3,10,1795,1852,,,,0.384,0.251,0.483,50.6,51.5,,4.4,0.454,17.9,,0.235
Baylor,39,24,15,0.615,12.54,7.93,5,11,14,5,4,7,2965,2732,,,,0.382,0.4,0.573,49.8,47.3,,7.4,0.54,16.2,,0.272
Belmont,33,20,13,0.606,0.39,-1.37,14,6,12,3,8,9,2528,2334,,,,0.339,0.484,0.555,49.6,63.2,,5,0.529,17.4,,0.232
Bethune-Cookman,33,17,16,0.515,-12.41,-9.76,9,7,8,4,7,10,1926,1941,,,,0.386,0.283,0.472,52.6,44.8,,6.6,0.437,18.8,,0.243
Binghamton NCAA,32,23,9,0.719,-3.27,-5.62,13,3,12,2,9,6,2239,2156,,,,0.416,0.326,0.53,48.5,49.2,,8.5,0.495,16.9,,0.278
Boise State,32,19,13,0.594,-0.95,0.54,9,7,13,3,6,9,2329,2315,,,,0.294,0.316,0.553,49.5,58.3,,6.8,0.527,18.4,,0.205
Boston College NCAA,34,22,12,0.647,10.36,7.23,9,7,15,4,5,5,2528,2397,,,,0.367,0.325,0.538,51.9,56.8,,8.1,0.497,16.3,,0.271
Boston University,30,17,13,0.567,-2.61,-4.91,11,5,9,6,8,6,2058,1989,,,,0.351,0.45,0.536,49.1,54.4,,6.5,0.505,17.5,,0.24
Bowling Green State,33,19,14,0.576,0.09,-1.75,11,5,10,4,6,9,2126,2020,,,,0.305,0.325,0.517,51.2,53.5,,7.5,0.489,17.2,,0.206
Bradley,36,21,15,0.583,2.48,1.95,10,8,14,4,5,9,2415,2387,,,,0.445,0.359,0.544,49.5,56.2,,7.5,0.499,19,,0.32
Brigham Young NCAA,33,25,8,0.758,15.12,4.15,12,4,14,2,9,3,2544,2150,,,,0.356,0.332,0.579,52.7,59.1,,7.2,0.547,14.6,,0.26
Brown,28,9,19,0.321,-12.39,-5.02,3,11,8,5,1,14,1712,1898,,,,0.379,0.366,0.516,49.6,62.3,,6.1,0.484,19.5,,0.25
Bucknell,30,7,23,0.233,-11.59,-4.12,4,10,6,8,1,15,1928,2152,,,,0.299,0.35,0.478,48.6,49.8,,4.7,0.444,17.4,,0.203
Buffalo,33,21,12,0.636,1.44,-0.9,11,5,9,4,7,7,2155,2078,,,,0.354,0.271,0.495,53.9,52.2,,6,0.464,17.6,,0.228
Butler NCAA,32,26,6,0.813,10.07,2.07,15,3,15,2,11,3,2168,1854,,,,0.43,0.454,0.559,52.5,59.1,,6.9,0.518,17.1,,0.311
Cal Poly,28,7,21,0.25,-8.32,-1.32,3,13,3,12,3,8,1822,1964,,,,0.306,0.352,0.5,46.7,46.5,,5.8,0.465,15.2,,0.216
Cal State Fullerton,32,15,17,0.469,-4.2,-1.26,7,9,7,6,7,7,2345,2356,,,,0.325,0.398,0.537,47,51.1,,6.9,0.504,16.2,,0.232
Cal State Northridge NCAA,31,17,14,0.548,2.65,-0.14,11,5,10,2,5,11,2282,2178,,,,0.338,0.337,0.544,52.4,52.4,,5.6,0.514,20.7,,0.235
UC-Davis,32,13,19,0.406,-4.13,-3.4,7,9,5,8,6,9,2338,2372,,,,0.379,0.392,0.576,48.2,62.8,,4.4,0.532,18.3,,0.295
UC-Irvine,31,12,19,0.387,-5.8,-1.8,8,8,6,7,5,10,2028,2134,,,,0.316,0.322,0.532,47.5,54.9,,3.9,0.492,15.8,,0.239
UC-Riverside,30,17,13,0.567,-5.22,-3.76,8,8,11,2,6,10,1806,1818,,,,0.309,0.301,0.511,52.7,55.7,,4,0.481,18.7,,0.211
UC-Santa Barbara,31,16,15,0.516,-1.74,-1.1,8,8,10,4,3,10,2030,2021,,,,0.4,0.306,0.535,50.9,55.2,,5.7,0.497,20.4,,0.278
University of California NCAA,33,22,11,0.667,13.3,7.21,11,7,16,2,6,6,2472,2271,,,,0.343,0.266,0.575,51.6,57.1,,3.9,0.54,15.7,,0.259
Campbell,30,14,16,0.467,-7.97,-3.42,11,9,10,4,4,10,2164,2153,,,,0.407,0.292,0.527,51.3,63.4,,5.1,0.484,19.5,,0.289
Canisius,31,11,20,0.355,-6.46,-1.68,4,14,5,8,5,12,1949,2097,,,,0.339,0.311,0.48,50,52.5,,8.6,0.453,20.1,,0.209
Centenary (LA),31,8,23,0.258,-8.46,-1.56,6,12,4,5,2,15,1993,2207,,,,0.319,0.391,0.503,43.4,53.6,,5.7,0.47,17.7,,0.217
Central Connecticut State,30,13,17,0.433,-10.35,-6.76,8,10,8,5,5,12,1943,2043,,,,0.329,0.247,0.523,49.4,54.2,,5.5,0.487,18.8,,0.237
Central Florida,31,17,14,0.548,1.73,1.26,7,9,13,3,3,8,2222,2166,,,,0.329,0.363,0.547,51.4,61,,6,0.51,18,,0.246
Central Michigan,31,12,19,0.387,-7.06,-4.15,7,9,8,6,3,11,1928,2018,,,,0.378,0.329,0.502,49.6,45,,6.1,0.473,18.9,,0.238
Charleston Southern,29,9,20,0.31,-14.07,-5.46,4,14,7,9,2,10,2000,2091,,,,0.277,0.339,0.514,52.2,51.6,,6.3,0.494,16.9,,0.175
Charlotte,31,11,20,0.355,0.79,2.47,5,11,9,6,2,11,2130,2182,,,,0.328,0.386,0.503,48.1,56.1,,7,0.469,16.1,,0.224
Chattanooga NCAA,35,18,17,0.514,-6.25,-3.13,11,9,13,3,5,10,2657,2687,,,,0.467,0.41,0.543,51.7,54.4,,4.4,0.51,18.4,,0.307
Chicago State,32,19,13,0.594,-5.97,-4.51,,,11,3,6,9,2693,2577,,,,0.372,0.351,0.551,50.7,53,,7.4,0.521,16.6,,0.254
Cincinnati,32,18,14,0.563,7.83,6.77,8,10,14,5,4,7,2187,2123,,,,0.301,0.376,0.512,52.6,58.8,,6.4,0.486,16.9,,0.198
Citadel,33,20,13,0.606,-4.48,-5.98,15,5,10,5,9,6,2206,2134,,,,0.348,0.361,0.545,51.3,48.2,,3.6,0.51,17.1,,0.249
Clemson NCAA,32,23,9,0.719,15.56,6.59,9,7,13,3,7,5,2507,2177,,,,0.315,0.347,0.553,51.3,52.4,,11.3,0.528,16.8,,0.217
Cleveland State NCAA,37,26,11,0.703,6.97,2.12,12,6,13,2,8,8,2455,2203,,,,0.357,0.283,0.514,50.4,58,,7,0.476,16,,0.25
Coastal Carolina,31,11,20,0.355,-11.74,-6.98,5,13,8,6,2,13,2148,2193,,,,0.327,0.371,0.525,50.7,57.9,,6.1,0.506,19.6,,0.201
Colgate,30,10,20,0.333,-13.26,-6.12,5,9,4,7,6,13,1701,1895,,,,0.379,0.319,0.492,47.1,52.5,,6.7,0.453,20.3,,0.254
College of Charleston,36,27,9,0.75,-1.33,-5.87,15,5,12,4,11,5,2781,2616,,,,0.32,0.365,0.562,49.1,47.9,,7.5,0.541,15.4,,0.211
Colorado State,31,9,22,0.29,-1.16,3.88,4,12,6,9,2,11,2142,2300,,,,0.385,0.315,0.526,49.6,46,,5,0.484,17.3,,0.276
Colorado,31,9,22,0.29,-0.06,5.04,1,15,8,9,0,10,1951,2091,,,,0.395,0.334,0.553,45.1,52.7,,3.5,0.512,19.8,,0.289
Columbia,28,12,16,0.429,-9.92,-6.46,7,7,9,6,3,9,1689,1740,,,,0.348,0.292,0.486,49.4,53.8,,4.2,0.45,18.5,,0.233
Connecticut NCAA,36,31,5,0.861,22.17,8.57,15,3,14,2,9,1,2819,2313,,,,0.464,0.23,0.549,55.8,56.9,,13.1,0.513,15.1,,0.315
Coppin State,32,13,19,0.406,-9.56,-4.59,9,7,7,2,4,14,2043,2161,,,,0.314,0.302,0.503,45,42.1,,3,0.465,16.6,,0.226
Cornell NCAA,31,21,10,0.677,2.71,-4.01,11,3,14,0,5,8,2281,2007,,,,0.314,0.338,0.572,52.2,58.7,,7.7,0.542,16.6,,0.229
Creighton,35,27,8,0.771,8.69,0.92,14,4,16,3,8,4,2565,2293,,,,0.398,0.377,0.559,47.5,57.5,,8.3,0.516,15.7,,0.298
Dartmouth,28,9,19,0.321,-13.28,-6.03,7,7,6,9,3,9,1750,1897,,,,0.312,0.274,0.489,48.2,42.4,,9.2,0.458,17.8,,0.205
Davidson,35,27,8,0.771,8.26,-3.33,18,2,12,3,11,3,2724,2306,,,,0.329,0.392,0.537,51,51.4,,6.6,0.506,14.8,,0.23
Dayton NCAA,35,27,8,0.771,7.16,1.76,11,5,18,0,5,5,2339,2150,,,,0.381,0.294,0.502,53.2,58.4,,7.6,0.47,16.9,,0.247
Delaware State,32,8,24,0.25,-14.53,-4.78,6,10,5,6,3,14,1847,2098,,,,0.281,0.338,0.504,47.9,46,,8.4,0.48,21.1,,0.183
Delaware,32,13,19,0.406,-4.83,-2.64,6,12,8,7,3,11,2174,2244,,,,0.379,0.391,0.518,47.6,57,,5.6,0.478,16.5,,0.266
Denver,31,15,16,0.484,-4.58,-4.97,9,9,12,3,2,12,1884,1872,,,,0.361,0.482,0.6,44.6,65.7,,5,0.57,20.6,,0.267
DePaul,33,9,24,0.273,-1.21,6.88,0,18,6,10,1,11,2123,2390,,,,0.317,0.331,0.48,46.9,47.8,,5.9,0.455,15.8,,0.195
Detroit Mercy,30,7,23,0.233,-8.08,0.65,2,16,4,8,3,15,1694,1937,,,,0.4,0.238,0.486,49.7,50.8,,6.8,0.449,22.4,,0.258
Drake,33,17,16,0.515,1.32,1.41,7,11,12,7,4,7,2128,2063,,,,0.393,0.464,0.544,50,55.6,,4.8,0.497,17.7,,0.296
Drexel,29,15,14,0.517,-0.8,-1.28,10,8,8,5,7,8,1788,1774,,,,0.39,0.296,0.461,53.4,53,,7.8,0.416,15.9,,0.262
Duke NCAA,37,30,7,0.811,20.1,9.07,11,5,16,1,6,5,2867,2439,,,,0.414,0.35,0.548,51.9,50.7,,7.7,0.505,14.8,,0.301
Duquesne,34,21,13,0.618,6.04,2.48,9,7,10,5,8,7,2683,2541,,,,0.374,0.415,0.573,48.2,60.3,,6.6,0.545,16.6,,0.26
East Carolina,30,13,17,0.433,-3,1.26,5,11,10,6,3,10,2176,2214,,,,0.363,0.414,0.557,48.7,59.9,,5.5,0.52,15.8,,0.266
East Tennessee State NCAA,34,23,11,0.676,3.21,-1.87,14,6,11,2,9,6,2657,2383,,,,0.396,0.289,0.547,50.9,45.4,,7.5,0.51,16.4,,0.281
Eastern Illinois,30,12,18,0.4,-9.18,-5.47,8,10,9,5,3,13,1936,1982,,,,0.322,0.268,0.525,51.1,54.7,,4.1,0.49,17.3,,0.231
Eastern Kentucky,31,18,13,0.581,-2.82,-5.45,10,8,12,2,5,11,2247,2061,,,,0.28,0.467,0.581,46.6,61.4,,4.1,0.561,14.9,,0.194
Eastern Michigan,32,8,24,0.25,-11.69,-1.79,6,10,5,9,3,12,1834,2040,,,,0.347,0.306,0.475,50.4,55,,7.4,0.449,20.7,,0.21
Eastern Washington,30,12,18,0.4,-7.13,-1.81,6,10,9,5,3,13,1905,2055,,,,0.318,0.309,0.502,49.7,51.1,,4.8,0.468,16.7,,0.22
Elon,31,11,20,0.355,-11.97,-4.62,7,13,8,6,2,14,2041,2197,,,,0.328,0.311,0.516,47.7,56.8,,6.8,0.49,18,,0.211
Evansville,31,17,14,0.548,1.87,2.29,8,10,15,4,2,9,2081,2038,,,,0.453,0.189,0.521,50.3,62.2,,2.8,0.477,17,,0.314
Fairfield,32,17,15,0.531,-2.29,-0.44,9,9,9,4,6,9,2093,2152,,,,0.36,0.342,0.509,49.2,57.8,,7.3,0.478,17.3,,0.236
Fairleigh Dickinson,30,7,23,0.233,-17.59,-5.18,6,12,4,9,3,14,1909,2282,,,,0.424,0.271,0.492,46.2,49.6,,8.2,0.456,20.9,,0.27
Florida A&M,31,10,21,0.323,-17.22,-5.72,6,10,7,3,1,16,1899,2228,,,,0.327,0.379,0.477,43,49.8,,4.3,0.449,17.8,,0.204
Florida Atlantic,32,6,26,0.188,-9.68,-2.1,2,16,5,7,0,18,2079,2319,,,,0.33,0.299,0.506,48.3,53.1,,6.4,0.463,16,,0.244
Florida International,33,13,20,0.394,-7.71,-1.52,7,11,10,7,3,12,2071,2240,,,,0.395,0.319,0.504,50.4,54.8,,6,0.472,19.5,,0.252
Florida State NCAA,35,25,10,0.714,11.37,7.91,10,6,13,3,8,5,2392,2271,,,,0.392,0.335,0.535,50.6,51.6,,11.5,0.492,19.7,,0.284
Florida,36,25,11,0.694,12.83,3.88,9,7,19,2,2,7,2774,2427,,,,0.3,0.376,0.569,50.3,59.4,,5.5,0.546,15.1,,0.208
Fordham,28,3,25,0.107,-14.14,1.08,1,15,2,13,1,11,1718,2144,,,,0.309,0.35,0.461,42.5,49.1,,5.9,0.431,15.8,,0.194
Fresno State,34,13,21,0.382,-4.11,0.96,3,13,9,8,3,10,2299,2372,,,,0.365,0.383,0.535,48.2,60,,9,0.505,18.6,,0.245
Furman,30,6,24,0.2,-16.07,-4.62,4,16,6,7,0,16,1830,2130,,,,0.357,0.331,0.495,47,53.3,,6.4,0.455,18.8,,0.248
Gardner-Webb,30,13,17,0.433,-8.32,-5.04,9,9,7,5,6,12,2220,2244,,,,0.321,0.369,0.526,50.9,62.2,,5,0.496,17.4,,0.221
George Mason,33,22,11,0.667,3.78,-1.98,13,5,14,0,6,11,2189,1999,,,,0.33,0.297,0.522,51.9,47,,6.6,0.498,15.8,,0.212
George Washington,28,10,18,0.357,-2.08,0.31,4,12,7,5,3,10,1853,1920,,,,0.385,0.303,0.528,50.2,54.4,,9.3,0.494,19,,0.261
Georgetown,31,16,15,0.516,14.39,8.97,7,11,11,5,3,8,2148,1980,,,,0.419,0.364,0.567,49.8,57.3,,7.9,0.53,19.2,,0.299
Georgia Southern,30,8,22,0.267,-13.5,-3.7,5,15,6,7,1,13,2114,2363,,,,0.303,0.347,0.52,47,45.1,,4.8,0.495,18.1,,0.201
Georgia State,32,12,20,0.375,-6.13,-1.83,8,10,6,8,4,11,1929,2036,,,,0.303,0.329,0.491,49.1,51.5,,5.3,0.468,17,,0.187
Georgia Tech,31,12,19,0.387,5.56,7.32,2,14,10,9,2,10,2208,2216,,,,0.356,0.263,0.506,51.4,56.7,,9.4,0.479,19.3,,0.224
Georgia,32,12,20,0.375,-1.81,5.5,3,13,10,8,1,9,2077,2237,,,,0.302,0.324,0.493,50.5,54.9,,7.1,0.467,20.9,,0.193
Gonzaga NCAA,34,28,6,0.824,17.95,3.55,14,0,11,2,9,1,2684,2142,,,,0.351,0.324,0.58,52.2,52.9,,10,0.551,14.3,,0.252
Grambling,29,6,23,0.207,-23.07,-10.1,4,14,4,8,1,14,1766,2084,,,,0.326,0.334,0.49,47.4,53.6,,5.5,0.467,19.9,,0.199
Green Bay,33,22,11,0.667,5.63,0.73,13,5,13,2,7,7,2399,2196,,,,0.383,0.365,0.568,48.9,58,,5.3,0.52,16.5,,0.301
Hampton,32,16,16,0.5,-10.79,-7.58,8,8,6,6,7,8,1851,1902,,,,0.38,0.358,0.466,49.3,55.2,,8.3,0.424,21.1,,0.251
Hartford,33,7,26,0.212,-13.24,-2.93,2,14,4,8,1,16,1998,2316,,,,0.282,0.474,0.502,45.1,61.2,,3.7,0.47,18.8,,0.2
Harvard,28,14,14,0.5,-7.57,-6.05,6,8,7,6,7,8,1890,1888,,,,0.422,0.34,0.567,47.4,54.6,,6.9,0.527,19.2,,0.308
Hawaii,30,13,17,0.433,-2.51,-1.34,5,11,11,9,2,7,1921,1956,,,,0.448,0.241,0.51,53.3,58.9,,8.1,0.458,20.2,,0.32
High Point,30,9,21,0.3,-13.1,-5.89,4,14,5,10,4,11,1931,2001,,,,0.273,0.329,0.497,52.3,52.5,,9.2,0.476,19.9,,0.17
Hofstra,32,21,11,0.656,-3.42,-2.9,11,7,10,3,8,6,2128,2126,,,,0.382,0.31,0.487,53.5,49.8,,10.7,0.442,18.2,,0.265
Holy Cross,32,18,14,0.563,-3.56,-5.91,11,3,12,4,6,10,2067,1992,,,,0.372,0.271,0.509,55.2,60.6,,7.5,0.472,20,,0.252
Houston,33,21,12,0.636,8.26,1.29,10,6,12,3,6,8,2501,2259,,,,0.365,0.29,0.516,48.8,45.7,,7.8,0.47,11.8,,0.272
Howard,31,8,23,0.258,-16.62,-6.58,6,10,8,5,0,14,1900,2186,,,,0.408,0.338,0.505,45.4,47.6,,6.3,0.472,20.9,,0.261
Idaho State,32,13,19,0.406,-3.22,0.17,9,7,11,4,2,14,2089,2185,,,,0.381,0.236,0.535,49.7,52.8,,8.3,0.5,17.6,,0.262
Idaho,33,17,16,0.515,-0.56,-0.15,9,7,13,3,4,12,2176,2167,,,,0.409,0.319,0.544,47.2,57.8,,7.4,0.516,16.9,,0.268
Illinois-Chicago,31,16,15,0.516,0.98,0.02,7,11,8,6,8,8,2087,2035,,,,0.325,0.308,0.512,52.2,53.9,,6.8,0.466,16.5,,0.249
Illinois State,34,24,10,0.706,7.83,1.52,11,7,13,2,7,7,2414,2155,,,,0.342,0.414,0.55,53.4,54.7,,5.7,0.521,16.4,,0.237
Illinois NCAA,34,24,10,0.706,14.38,6.73,11,7,14,3,5,6,2204,1944,,,,0.225,0.288,0.534,49.9,69.3,,7.3,0.511,16.9,,0.16
Indiana State,32,11,21,0.344,-3.38,2.04,7,11,5,9,4,10,2019,2181,,,,0.36,0.423,0.526,47.7,56.1,,6.1,0.484,19.1,,0.262
Indiana,31,6,25,0.194,-2.03,8.98,1,17,5,10,0,11,1862,2190,,,,0.379,0.325,0.515,49.6,55.2,,4.5,0.485,23.1,,0.246
Iona,31,12,19,0.387,-3.24,-2.37,7,11,5,6,5,10,1930,1957,,,,0.475,0.34,0.511,50.4,59.3,,6.6,0.47,20.5,,0.313
Iowa State,32,15,17,0.469,3.48,5.68,4,12,13,6,2,10,2078,2100,,,,0.283,0.394,0.529,48.8,60.7,,6.8,0.5,16.5,,0.2
Iowa,32,15,17,0.469,6.65,6.84,5,13,13,4,1,11,1927,1908,,,,0.338,0.483,0.565,49.6,57.7,,5,0.53,19,,0.251
Fort Wayne,30,13,17,0.433,-5.42,-0.64,8,10,8,5,5,11,1970,2055,,,,0.36,0.305,0.537,47.2,47.9,,6.6,0.497,17.4,,0.264
IUPUI,30,16,14,0.533,-2.92,-2.51,9,9,8,5,7,6,1964,1899,,,,0.35,0.284,0.549,51.1,54.4,,8.4,0.526,17.7,,0.229
Jackson State,33,18,15,0.545,-9.5,-8.22,15,3,9,0,6,14,2307,2328,,,,0.429,0.272,0.518,51.7,56.1,,5.5,0.472,18.9,,0.303
Jacksonville State,28,11,17,0.393,-8.2,-4.78,5,13,6,6,5,11,1962,1981,,,,0.413,0.29,0.521,50.8,62,,4.6,0.488,17.1,,0.27
Jacksonville,32,18,14,0.563,1.62,-0.05,15,5,10,5,8,8,2363,2210,,,,0.407,0.312,0.538,53.8,51,,7.7,0.501,17.3,,0.281
James Madison,36,21,15,0.583,-1.14,-2.91,9,9,9,4,8,7,2540,2465,,,,0.372,0.363,0.554,49.5,49.1,,4.3,0.511,18,,0.282
Kansas State,34,22,12,0.647,12.18,5.24,9,7,16,3,5,6,2556,2266,,,,0.419,0.31,0.518,54.3,54.2,,6.6,0.485,16.1,,0.272
Kansas NCAA,35,27,8,0.771,18.02,7.9,14,2,18,0,6,4,2674,2290,,,,0.395,0.296,0.569,55.1,58.7,,8.7,0.532,17.8,,0.287
Kent State,34,19,15,0.559,0.66,-0.97,10,6,13,3,5,9,2343,2199,,,,0.341,0.302,0.516,49.3,50.6,,5.6,0.489,16.3,,0.221
Kentucky,36,22,14,0.611,12.69,4.82,8,8,13,6,5,7,2669,2386,,,,0.401,0.295,0.578,53.6,60.8,,12.8,0.533,20.8,,0.31
La Salle,31,18,13,0.581,3.45,1.12,9,7,11,6,6,4,2207,2135,,,,0.398,0.284,0.526,53.5,51.7,,7.1,0.489,17.5,,0.272
Lafayette,30,8,22,0.267,-14.08,-6.14,4,10,6,8,2,14,1959,2197,,,,0.342,0.453,0.518,47.3,60.5,,4.8,0.474,21.1,,0.256
Lamar,30,15,15,0.5,-5,-1.04,6,10,9,5,5,9,2198,2156,,,,0.407,0.297,0.529,51.3,56.3,,8.2,0.483,16.5,,0.297
Lehigh,29,15,14,0.517,-8.31,-8.28,5,9,8,6,7,8,1854,1827,,,,0.389,0.305,0.479,51.9,54.4,,4.9,0.434,16.8,,0.268
Liberty,35,23,12,0.657,-5.39,-5.49,12,6,15,3,6,8,2644,2493,,,,0.352,0.446,0.565,48.9,58.3,,3.1,0.535,16.4,,0.25
Lipscomb,31,17,14,0.548,-2.58,-3.49,12,8,12,4,5,10,2368,2161,,,,0.448,0.33,0.563,54.6,60.8,,4.2,0.532,19.3,,0.301
Long Beach State,30,15,15,0.5,-1.57,-0.27,10,6,9,5,6,9,2138,2177,,,,0.376,0.369,0.543,49.4,57.1,,5.3,0.513,17.9,,0.254
Long Island University,30,16,14,0.533,-6.92,-8.63,12,6,12,3,4,11,2119,2058,,,,0.425,0.329,0.513,52.7,48.4,,4,0.464,16.1,,0.306
Longwood,31,17,14,0.548,-12.38,-6.51,,,13,2,3,11,2400,2349,,,,0.311,0.365,0.519,45.7,58.1,,5.1,0.49,16.4,,0.211
Louisiana,30,10,20,0.333,-6.3,-2.23,7,11,9,7,1,13,1999,2116,,,,0.33,0.376,0.508,48.2,41.3,,9.1,0.476,17.6,,0.223
Louisiana-Monroe,30,10,20,0.333,-11.75,-3.2,6,12,8,6,2,14,1961,2155,,,,0.401,0.323,0.505,49.8,46.4,,5.7,0.459,19.1,,0.286
Louisiana State NCAA,35,27,8,0.771,11.87,3.27,13,3,19,2,6,3,2617,2316,,,,0.354,0.273,0.535,53.5,56.5,,11.7,0.499,14.8,,0.253
Louisiana Tech,33,15,18,0.455,-2.38,-1.98,6,10,8,4,5,12,2088,2083,,,,0.426,0.297,0.525,51.3,48.1,,7.1,0.491,20.2,,0.282
Louisville NCAA,37,31,6,0.838,20.87,8.41,16,2,16,2,8,1,2748,2287,,,,0.314,0.378,0.546,51.8,62.4,,11.7,0.527,16.8,,0.201
Loyola (IL),32,14,18,0.438,-5.51,-0.67,6,12,8,8,5,10,2026,2154,,,,0.333,0.282,0.487,49.1,52.3,,7.4,0.451,16.7,,0.226
Loyola Marymount,31,3,28,0.097,-14.79,1.8,2,12,3,10,0,15,1726,2214,,,,0.347,0.317,0.443,45.5,52,,3.8,0.396,19,,0.239
Loyola (MD),32,12,20,0.375,-5.65,-0.65,7,11,5,8,6,10,2147,2294,,,,0.365,0.322,0.496,49.1,51.3,,6.7,0.441,16.6,,0.283
Maine,30,9,21,0.3,-11.33,-4.4,4,12,5,8,3,11,1980,2085,,,,0.38,0.341,0.516,48.6,55.7,,6.1,0.481,18.6,,0.256
Manhattan,30,16,14,0.533,-4.09,-3.4,9,9,9,5,7,7,1931,1927,,,,0.445,0.299,0.487,52,45.6,,7.8,0.446,17.3,,0.288
Marist,33,10,23,0.303,-7.24,-1.85,4,14,7,7,2,14,2111,2289,,,,0.339,0.366,0.498,47.6,48,,5.1,0.471,19.5,,0.215
Marquette NCAA,35,25,10,0.714,15.06,7.87,12,6,16,2,7,4,2739,2432,,,,0.454,0.347,0.557,52,57.5,,5.7,0.512,14.2,,0.33
Marshall,32,15,17,0.469,0.14,2.73,7,9,13,3,2,9,2276,2255,,,,0.423,0.35,0.54,51.1,54.1,,4.6,0.497,16.5,,0.303
Maryland-Baltimore County,32,15,17,0.469,-8.74,-4.16,7,9,8,5,5,12,2102,2207,,,,0.331,0.205,0.506,47.7,53.4,,5.1,0.468,13.1,,0.234
Maryland-Eastern Shore,30,7,23,0.233,-22.6,-8.8,3,13,5,6,2,16,1757,2089,,,,0.44,0.31,0.46,50.3,49.3,,3.4,0.421,20.5,,0.272
Maryland NCAA,35,21,14,0.6,11.1,8.99,7,9,14,4,2,6,2512,2419,,,,0.28,0.277,0.509,48.9,55.3,,8,0.47,14.8,,0.212
