,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,31,10,21,0.323,-2.99,2.37,0,16,7,10,1,9,1821,1936,,,,0.42,0.393,0.547,48,61.9,,5.5,0.514,19.6,,0.283
Akron NCAA,36,23,13,0.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,,,,0.358,0.394,0.522,49.2,54.2,,5,0.483,17.5,,0.253
Alabama A&M,27,8,19,0.296,-19.72,-11.63,6,12,6,7,2,11,1761,1954,,,,0.407,0.29,0.471,46,49,,6.3,0.427,19.3,,0.271
Alabama-Birmingham,34,22,12,0.647,10.05,3.67,11,5,13,1,7,8,2461,2244,,,,0.346,0.349,0.546,50,48.9,,4,0.514,14.7,,0.244
Alabama State NCAA,32,22,10,0.688,-6.13,-11.2,16,2,10,1,8,7,2202,2025,,,,0.35,0.314,0.539,50.3,54.5,,9,0.517,17.5,,0.222
Alabama,32,18,14,0.563,5.49,3.99,7,9,13,5,2,7,2349,2254,,,,0.372,0.25,0.522,51.6,42.2,,8.2,0.483,17.1,,0.262
Albany (NY),31,15,16,0.484,-6.63,-4.11,6,10,10,4,5,12,1984,2038,,,,0.344,0.258,0.498,56.3,51.3,,4.5,0.455,19.2,,0.248
Alcorn State,31,6,25,0.194,-25.55,-10.26,4,14,5,7,1,15,2156,2588,,,,0.373,0.3,0.482,42.9,41.6,,3.1,0.44,16.9,,0.255
American NCAA,32,24,8,0.75,-0.05,-5.49,13,1,13,1,11,6,2065,1891,,,,0.318,0.381,0.556,51.9,56.1,,5.5,0.537,18.5,,0.206
Appalachian State,31,13,18,0.419,-8.44,-5.44,9,11,7,7,5,9,2356,2381,,,,0.415,0.363,0.557,55.3,50.9,,6.5,0.52,20.4,,0.294
Arizona State NCAA,35,25,10,0.714,16.7,7.82,11,7,12,3,6,4,2428,2117,,,,0.387,0.453,0.597,51,65.9,,4.5,0.564,16.5,,0.285
Arizona NCAA,35,21,14,0.6,11.88,8.8,9,9,14,3,2,9,2529,2421,,,,0.375,0.29,0.567,51.7,55.7,,6,0.53,16.5,,0.276
Little Rock,31,23,8,0.742,-0.66,-3.72,15,3,11,4,11,3,2059,1964,,,,0.449,0.28,0.534,51.7,56.8,,7.3,0.497,19.4,,0.301
Arkansas-Pine Bluff,31,13,18,0.419,-15.45,-7.48,11,7,6,3,6,14,1943,2190,,,,0.367,0.244,0.468,50.7,47.8,,5.6,0.436,22.6,,0.227
Arkansas State,30,13,17,0.433,-5.42,-4.31,5,13,9,5,4,12,1996,1948,,,,0.339,0.262,0.51,51.7,55,,7.3,0.477,17.3,,0.231
