,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Marshall,32,13,19,0.406,-1.89,2.33,7,9,9,5,3,10,2112,2247,,,,0.393,0.358,0.49,50.4,54.8,,7.6,0.453,18.6,,0.256
Maryland-Baltimore County,31,12,19,0.387,-9.47,-4.92,7,9,6,6,5,12,1875,2016,,,,0.272,0.31,0.507,48,55.1,,5.6,0.473,17.6,,0.199
Maryland-Eastern Shore,31,4,27,0.129,-22.97,-9.04,1,17,1,12,2,13,1880,2278,,,,0.334,0.32,0.468,44.5,42.7,,3.4,0.437,19.4,,0.21
Maryland NCAA,34,25,9,0.735,19.06,7.59,10,6,17,3,6,4,2685,2295,,,,0.387,0.25,0.558,51.3,60.5,,11,0.526,18.4,,0.269
Massachusetts,33,24,9,0.727,9.49,0.97,13,3,12,2,9,6,2551,2270,,,,0.416,0.297,0.549,55.2,56.4,,12.7,0.528,18.6,,0.259
McNeese State,32,15,17,0.469,-11.34,-4.66,9,7,10,3,4,11,2028,2154,,,,0.338,0.234,0.475,52.1,48.3,,9.2,0.441,19.7,,0.221
Memphis NCAA,37,33,4,0.892,19.72,3.91,16,0,19,0,9,2,2918,2333,,,,0.424,0.352,0.54,53.6,52.4,,10.8,0.517,15.4,,0.263
Mercer,30,13,17,0.433,-13.11,-5.82,8,10,9,5,4,11,2177,2329,,,,0.39,0.316,0.528,49.3,50.1,,6.9,0.487,20.4,,0.278
Miami (FL),32,12,20,0.375,5.49,7.15,4,12,8,7,3,9,2279,2332,,,,0.301,0.307,0.52,51.4,47.8,,5.5,0.489,15.6,,0.211
Miami (OH) NCAA,33,18,15,0.545,4.81,2.78,10,6,11,2,3,11,1962,1895,,,,0.318,0.325,0.545,49.7,58.5,,8.2,0.514,19.4,,0.226
Michigan State NCAA,35,23,12,0.657,16.3,8.45,8,8,18,1,2,8,2276,2001,,,,0.391,0.283,0.559,55.6,69.5,,9.3,0.522,20.4,,0.281
Michigan,35,22,13,0.629,10.59,6.79,8,8,18,3,3,9,2249,2116,,,,0.384,0.278,0.535,54.7,60.4,,11,0.492,19.8,,0.279
Middle Tennessee,32,15,17,0.469,-5.93,-3.96,8,10,7,6,7,7,1995,2040,,,,0.324,0.267,0.534,51,54.1,,5.6,0.503,19.6,,0.227
Milwaukee,31,9,22,0.29,-5.26,2.34,6,10,7,7,2,15,2007,2218,,,,0.316,0.376,0.483,49.1,50.7,,3.9,0.449,16.5,,0.213
Minnesota,31,9,22,0.29,0.78,8.05,3,13,8,9,1,9,1880,2053,,,,0.278,0.319,0.515,46.9,56.9,,8.8,0.488,20,,0.19
Mississippi State,35,21,14,0.6,15.31,6.91,8,8,16,3,3,9,2692,2398,,,,0.374,0.374,0.552,51.9,53.8,,10.4,0.526,16.8,,0.249
Mississippi Valley State,34,18,16,0.529,-13.12,-10.87,13,5,10,1,6,12,2076,2131,,,,0.406,0.289,0.49,50.1,51,,7.5,0.453,20.4,,0.264
Mississippi,34,21,13,0.618,9.9,6.38,8,8,16,1,2,11,2486,2356,,,,0.268,0.319,0.525,49.8,51.5,,6.2,0.498,14.7,,0.189
Missouri-Kansas City,32,12,20,0.375,-6.26,-1.8,6,8,9,4,1,14,2290,2397,,,,0.294,0.393,0.53,46.6,46.2,,4.6,0.495,14.7,,0.218
Missouri State,33,22,11,0.667,13.96,5.93,12,6,12,5,8,4,2439,2150,,,,0.405,0.347,0.57,52.6,64.2,,5.9,0.538,17,,0.283
Missouri,30,18,12,0.6,10.77,5.03,7,9,15,4,3,6,2328,2156,,,,0.317,0.36,0.554,48.6,55.4,,5.5,0.527,17.6,,0.219
Monmouth,30,12,18,0.4,-8.96,-5.96,7,11,8,5,3,12,1938,2028,,,,0.343,0.362,0.551,47.3,58.5,,9.3,0.528,20.7,,0.225
Montana State,30,11,19,0.367,-11.75,-4.23,8,8,8,6,3,12,2040,2161,,,,0.34,0.413,0.518,49.8,59.7,,6.2,0.489,19.4,,0.226
Montana,32,17,15,0.531,-5.34,-3.53,10,6,11,5,5,7,2310,2226,,,,0.333,0.39,0.559,51.2,60.2,,5.9,0.537,16.5,,0.221
Morehead State,30,12,18,0.4,-10.12,-7.51,8,12,8,8,4,10,1936,1962,,,,0.307,0.351,0.514,52.6,63.8,,3.7,0.489,18.3,,0.199
Morgan State,31,13,18,0.419,-12.14,-9.65,10,8,8,5,4,12,2108,2179,,,,0.378,0.267,0.526,51.5,49.7,,6.3,0.501,20.1,,0.238
Mount St. Mary's,31,11,20,0.355,-8.81,-5.65,9,9,7,5,4,15,2022,2120,,,,0.298,0.271,0.506,48.7,48.1,,5.2,0.475,18.6,,0.203
Murray State,30,16,14,0.533,-6.59,-5.92,13,7,8,5,8,7,1993,1973,,,,0.339,0.308,0.53,50.4,56.7,,5.4,0.5,19.4,,0.232
Navy,30,14,16,0.467,-7.69,-3.77,4,10,7,7,5,9,1854,1881,,,,0.319,0.483,0.536,46.3,64.1,,3.5,0.498,21.4,,0.238
Nebraska,31,17,14,0.548,6.94,5.35,6,10,12,4,2,8,2072,1989,,,,0.39,0.423,0.569,48.3,66,,4.5,0.535,19.5,,0.278
Nevada-Las Vegas NCAA,37,30,7,0.811,12.98,5.37,12,4,19,1,8,5,2772,2470,,,,0.333,0.364,0.543,49.8,56,,9.7,0.51,13.9,,0.238
Nevada NCAA,34,29,5,0.853,10.58,1.09,14,2,15,1,10,2,2632,2296,,,,0.324,0.318,0.582,54.6,60,,7.2,0.548,16.6,,0.245
New Hampshire,30,10,20,0.333,-12.28,-6.1,6,10,4,7,5,12,1762,1942,,,,0.323,0.44,0.513,46,53.4,,3.6,0.483,18.5,,0.218
New Mexico State NCAA,34,25,9,0.735,5.04,0.01,11,5,19,1,6,7,2652,2462,,,,0.516,0.271,0.564,53.4,52.1,,4.8,0.532,19.6,,0.339
New Mexico,32,15,17,0.469,3.19,2.89,4,12,13,5,1,10,2410,2345,,,,0.324,0.427,0.56,48.8,56.3,,4.3,0.539,15.5,,0.214
New Orleans,31,14,17,0.452,-7.86,-5.62,9,9,9,5,5,8,2270,2313,,,,0.353,0.308,0.553,46.2,44.3,,6,0.52,15.3,,0.252
Niagara NCAA,35,23,12,0.657,-3.41,-4.7,13,5,9,6,9,4,2654,2609,,,,0.388,0.376,0.527,52.6,52.5,,2.6,0.483,15.8,,0.283
Nicholls State,30,8,22,0.267,-12.3,-1.89,7,9,6,4,2,16,2144,2427,,,,0.301,0.466,0.542,45.6,63.1,,3.7,0.507,19.8,,0.226
Norfolk State,30,11,19,0.367,-16.92,-8.21,10,8,7,4,3,12,1970,2235,,,,0.384,0.261,0.527,51,44.7,,6.1,0.502,22.3,,0.244
North Carolina-Asheville,31,12,19,0.387,-8.9,-2.23,6,8,7,6,5,13,2148,2277,,,,0.352,0.274,0.516,49.4,56.4,,7.5,0.483,19.9,,0.24
North Carolina A&T,32,15,17,0.469,-11.68,-10.09,10,8,8,3,6,10,2349,2317,,,,0.46,0.397,0.54,46.4,52.3,,3.1,0.503,19.3,,0.31
North Carolina-Greensboro,30,16,14,0.533,-2.76,-3.69,12,6,10,4,6,9,2083,2055,,,,0.429,0.389,0.526,49.4,52.4,,7.6,0.492,19,,0.283
North Carolina State,36,20,16,0.556,8.53,8.36,5,11,14,6,3,8,2580,2574,,,,0.409,0.324,0.584,48.9,57.6,,5.6,0.549,19.5,,0.297
North Carolina-Wilmington,29,7,22,0.241,-6.41,0.01,4,14,5,7,1,13,1871,2057,,,,0.278,0.381,0.507,51.5,61.5,,3.4,0.478,19.6,,0.193
North Carolina NCAA,38,31,7,0.816,26.41,9.3,11,5,16,1,7,4,3258,2608,,,,0.395,0.252,0.577,55.8,58.6,,7.5,0.544,15.6,,0.281
North Texas NCAA,34,23,11,0.676,-3.11,-6.59,10,8,13,3,7,7,2617,2420,,,,0.404,0.3,0.541,53.7,46.4,,7.8,0.512,18.2,,0.266
Northeastern,32,13,19,0.406,-3.98,0.3,9,9,10,2,2,14,1990,2127,,,,0.307,0.399,0.514,45.7,61.4,,7.3,0.482,17,,0.213
Northern Arizona,30,18,12,0.6,-3.28,-3.28,11,5,11,2,6,9,2490,2423,,,,0.393,0.304,0.594,52.6,62.3,,3.6,0.559,19.3,,0.292
Northern Illinois,30,7,23,0.233,-6.67,-0.85,4,12,5,8,2,11,2008,2162,,,,0.339,0.282,0.556,50.9,58.4,,6.1,0.526,22.9,,0.239
Northern Iowa,31,18,13,0.581,8.05,6.05,9,9,10,4,6,8,2040,1947,,,,0.399,0.357,0.552,52.4,59.1,,5.9,0.516,17.3,,0.281
Northwestern State,32,17,15,0.531,-3.6,-4.05,10,6,9,3,6,10,2523,2484,,,,0.443,0.287,0.542,48.8,62.9,,7,0.498,18.3,,0.315
Northwestern,31,13,18,0.419,4.92,7.82,2,14,10,9,2,8,1750,1821,,,,0.241,0.416,0.527,42.5,71.7,,5.9,0.502,16.9,,0.17
Notre Dame NCAA,32,24,8,0.75,16.94,4.97,11,5,18,0,4,5,2592,2176,,,,0.403,0.388,0.575,52.9,63.5,,5.8,0.535,15.5,,0.3
Oakland,33,19,14,0.576,0.25,-0.41,10,4,10,2,6,10,2299,2239,,,,0.404,0.312,0.548,54,54.9,,2.3,0.498,18.5,,0.31
Ohio State NCAA,39,35,4,0.897,21.54,9.03,15,1,19,0,7,3,2905,2417,,,,0.366,0.365,0.568,52.1,56.7,,9.7,0.538,14.8,,0.257
Ohio,32,19,13,0.594,2.29,0.22,9,7,10,2,4,9,2331,2250,,,,0.456,0.34,0.556,50.5,54,,3.6,0.512,17.6,,0.33
Oklahoma State,35,22,13,0.629,9.63,6.34,6,10,15,3,0,8,2626,2462,,,,0.409,0.313,0.564,51.1,55.3,,6.5,0.525,19.4,,0.297
Oklahoma,31,16,15,0.516,13.02,7.23,6,10,12,4,2,8,2072,1848,,,,0.326,0.332,0.525,53.4,55.9,,8.4,0.489,17.7,,0.235
Old Dominion NCAA,33,24,9,0.727,7.83,0.44,15,3,15,2,8,5,2290,2046,,,,0.363,0.371,0.534,52.9,61.3,,6.6,0.495,15.9,,0.262
Oral Roberts NCAA,34,23,11,0.676,4.54,-1.04,12,2,12,2,6,8,2440,2206,,,,0.468,0.32,0.565,53.3,55.7,,8.1,0.524,19.2,,0.333
Oregon State,32,11,21,0.344,-0.74,6.23,3,15,8,11,3,9,2028,2222,,,,0.324,0.323,0.486,47,51.3,,5.8,0.465,17.1,,0.193
Oregon NCAA,37,29,8,0.784,15.95,6.3,11,7,16,2,6,5,2807,2450,,,,0.328,0.421,0.57,51.5,53.3,,3.6,0.534,15.8,,0.249
Pacific,31,12,19,0.387,-5.19,-0.87,5,9,6,6,4,10,2126,2224,,,,0.41,0.357,0.553,50.7,62.3,,3.6,0.519,19.2,,0.283
Penn State,30,11,19,0.367,3.25,5.79,2,14,11,8,0,10,1962,2038,,,,0.358,0.344,0.535,52.2,65.6,,3,0.503,18.7,,0.246
Pennsylvania NCAA,31,22,9,0.71,4.16,-1.64,13,1,12,3,9,4,2297,2100,,,,0.384,0.304,0.567,49.8,64.5,,5.4,0.543,17.6,,0.255
Pepperdine,31,8,23,0.258,-5.9,0.23,4,10,3,9,3,12,2389,2579,,,,0.297,0.433,0.538,,51.1,,6.3,0.51,17.6,,0.209
Pittsburgh NCAA,37,29,8,0.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,,,0.361,0.294,0.553,53.5,67.3,,6.6,0.529,15.6,,0.239
Portland State,32,19,13,0.594,-5.95,-4.57,9,7,12,3,6,9,2503,2408,,,,0.444,0.332,0.541,51.3,58.1,,8.4,0.513,17.9,,0.286
Portland,32,9,23,0.281,-8.69,0.81,4,10,8,8,1,13,1958,2229,,,,0.355,0.266,0.495,52.3,53.3,,3.8,0.45,21.3,,0.258
Prairie View,30,8,22,0.267,-23.73,-10.4,6,12,6,5,2,15,1799,2149,,,,0.361,0.298,0.44,45,46.3,,3.6,0.413,20,,0.206
Princeton,28,11,17,0.393,-8.52,-5.7,2,12,5,6,3,9,1410,1493,,,,0.302,0.506,0.522,45.4,64.3,,4.6,0.496,21.4,,0.202
Providence,31,18,13,0.581,9.85,6.69,8,8,16,3,2,8,2357,2224,,,,0.345,0.292,0.565,54.6,59.1,,8,0.537,20.1,,0.24
Purdue NCAA,34,22,12,0.647,14.65,8.89,9,7,16,1,2,8,2376,2154,,,,0.379,0.335,0.549,50.9,55.2,,5.1,0.519,18,,0.257
Quinnipiac,29,14,15,0.483,-9.22,-7.62,11,7,9,5,5,10,2087,2117,,,,0.369,0.344,0.538,49.5,58.1,,5.3,0.512,19.4,,0.24
Radford,30,8,22,0.267,-11.57,-4.25,3,11,6,5,1,13,2108,2257,,,,0.412,0.251,0.521,49.8,44.3,,6.1,0.489,20.7,,0.268
Rhode Island,33,19,14,0.576,1.54,2.32,10,6,11,4,5,8,2511,2507,,,,0.393,0.337,0.561,51.7,52,,5.2,0.524,17.9,,0.284
Rice,32,16,16,0.5,-1.67,1.43,8,8,10,5,2,9,2222,2229,,,,0.405,0.307,0.549,48.1,56.8,,5.2,0.51,19,,0.289
Richmond,30,8,22,0.267,-7.56,0.72,4,12,6,10,2,11,1817,2046,,,,0.321,0.408,0.546,41.3,59.4,,4.8,0.525,18.9,,0.209
Rider,31,16,15,0.516,-8.31,-4.88,9,9,8,5,7,9,2169,2283,,,,0.359,0.358,0.534,47.9,58.8,,5.9,0.497,17.4,,0.258
Robert Morris,28,17,11,0.607,-5.62,-8.07,9,9,11,4,6,7,2105,1994,,,,0.302,0.366,0.571,50.6,58.9,,5.1,0.539,18,,0.229
Rutgers,29,10,19,0.345,-2.25,5.86,3,13,8,8,2,9,1734,1920,,,,0.385,0.324,0.48,49.6,43.9,,8,0.438,17.1,,0.26
Sacramento State,29,10,19,0.345,-14.43,-2.68,5,11,8,5,2,14,2192,2381,,,,0.352,0.302,0.493,45.3,49.2,,6.2,0.466,15.8,,0.22
Sacred Heart,32,18,14,0.563,-4.41,-6.04,12,6,11,2,6,11,2513,2461,,,,0.339,0.331,0.569,46.9,52.4,,5.8,0.543,17.9,,0.234
Saint Francis (PA),29,8,21,0.276,-13.39,-6.74,5,13,6,9,2,12,1944,2096,,,,0.431,0.347,0.542,50.8,58.9,,5.2,0.496,21.3,,0.314
Saint Joseph's,32,18,14,0.563,5.11,2.23,9,7,9,4,6,8,2162,2061,,,,0.414,0.288,0.558,53.1,56.3,,7.4,0.518,19.6,,0.299
Saint Louis,33,20,13,0.606,3.13,2.91,8,8,13,2,3,10,2178,2147,,,,0.355,0.303,0.548,51.1,57.7,,7.5,0.512,18,,0.257
Saint Mary's (CA),32,17,15,0.531,4.17,1.03,8,6,12,5,5,9,2247,2089,,,,0.445,0.29,0.517,53.2,47.9,,9.7,0.473,17,,0.307
Saint Peter's,30,5,25,0.167,-13.72,-5.82,3,15,2,11,2,12,1788,1998,,,,0.29,0.354,0.49,49.1,53.2,,6.6,0.461,21.5,,0.193
Sam Houston State,31,21,10,0.677,-1.13,-5.35,13,3,11,2,8,7,2397,2126,,,,0.412,0.407,0.551,51,73,,5.8,0.521,17.6,,0.276
Samford,32,16,16,0.5,-6.72,-4.78,12,8,9,4,6,10,1898,1934,,,,0.343,0.525,0.568,46.2,64.8,,3.3,0.536,16.7,,0.249
San Diego State,33,22,11,0.667,7.16,3.9,10,6,15,2,6,7,2389,2249,,,,0.321,0.282,0.547,50.1,54.5,,6.9,0.517,18.4,,0.227
San Diego,32,18,14,0.563,-1.6,-1.15,6,8,9,5,6,8,2403,2368,,,,0.394,0.337,0.544,50.3,56.7,,5.4,0.507,18.4,,0.277
San Francisco,31,13,18,0.419,-1.35,0.95,8,6,7,5,5,10,2300,2355,,,,0.357,0.325,0.55,47.1,49.4,,5.4,0.518,19.1,,0.25
San Jose State,30,5,25,0.167,-7.26,2.21,4,12,4,7,1,16,1858,2142,,,,0.3,0.309,0.465,48.3,51.1,,5,0.44,18.1,,0.182
Santa Clara,31,21,10,0.677,6.34,1.58,10,4,12,4,7,5,2131,1956,,,,0.313,0.32,0.545,53.8,59.6,,5.7,0.522,19.1,,0.209
Savannah State,30,12,18,0.4,-15.95,-2.51,,,11,3,1,13,1713,1937,,,,0.352,0.308,0.496,48.3,52.6,,6.3,0.457,24.9,,0.243
Seton Hall,29,13,16,0.448,5.94,5.37,4,12,11,5,1,9,2165,2110,,,,0.329,0.32,0.516,47,47.9,,5.2,0.473,14.4,,0.248
Siena,32,20,12,0.625,-1.16,-4.72,12,6,10,4,8,7,2437,2282,,,,0.359,0.296,0.556,49.1,54.4,,4.6,0.526,16.4,,0.25
South Alabama,32,20,12,0.625,-2.01,-4.18,13,5,11,3,7,8,2280,2155,,,,0.336,0.409,0.537,49.3,54.9,,4.7,0.513,15.6,,0.218
South Carolina State,30,13,17,0.433,-12.57,-9.91,10,8,9,4,4,12,1989,2059,,,,0.399,0.295,0.525,51.4,42.6,,4.7,0.487,21.1,,0.274
South Carolina,30,14,16,0.467,3.79,7.86,4,12,10,7,4,8,1941,2063,,,,0.279,0.402,0.515,46.9,48.1,,8.3,0.49,15.2,,0.186
South Florida,30,12,18,0.4,2.34,4.37,3,13,9,7,2,10,1970,2009,,,,0.477,0.283,0.531,51.8,64.5,,8.7,0.493,21.4,,0.315
Southeast Missouri State,31,11,20,0.355,-13.55,-5.78,9,11,5,8,6,10,2153,2383,,,,0.401,0.439,0.519,47.3,55,,7.1,0.492,20.3,,0.253
Southeastern Louisiana,30,16,14,0.533,-8.87,-5.98,8,8,8,3,5,9,2050,2068,,,,0.269,0.364,0.532,46.6,55.4,,6.8,0.505,16.3,,0.191
Southern California NCAA,37,25,12,0.676,13.78,7.87,11,7,15,3,4,6,2656,2413,,,,0.392,0.263,0.563,50,49.9,,6.8,0.528,18.6,,0.28
Southern Illinois NCAA,36,29,7,0.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,,,0.439,0.36,0.551,51.4,54.3,,7.4,0.514,19.7,,0.304
Southern Methodist,31,14,17,0.452,-0.45,0.73,3,13,9,7,3,9,1945,1941,,,,0.39,0.403,0.528,52.7,59.4,,7.3,0.49,21.4,,0.273
Southern Mississippi,31,20,11,0.645,3.36,0.17,9,7,16,2,3,7,2149,1933,,,,0.481,0.249,0.519,55.2,46.7,,6,0.478,17.8,,0.319
Southern Utah,30,16,14,0.533,-4.29,-4.41,6,8,12,2,4,11,2014,1975,,,,0.34,0.297,0.556,49.5,53.4,,6,0.532,18.9,,0.229
Southern,31,10,21,0.323,-17.72,-10.04,9,9,6,6,4,12,1839,2077,,,,0.371,0.314,0.476,47.8,46.5,,6.3,0.44,22.9,,0.239
St. Bonaventure,29,7,22,0.241,-12.5,-1.47,4,12,3,11,3,10,1957,2261,,,,0.397,0.35,0.508,47.5,55.8,,5.2,0.471,18.4,,0.265
St. Francis (NY),31,9,22,0.29,-11.51,-5.54,7,11,5,7,4,13,1955,2140,,,,0.369,0.254,0.479,52.8,45.2,,4.8,0.449,21.3,,0.229
St. John's (NY),31,16,15,0.516,4.51,6.85,7,9,14,8,2,7,1979,2008,,,,0.345,0.38,0.515,48.5,62,,6.3,0.474,18.7,,0.249
Stanford NCAA,31,18,13,0.581,11.16,9.06,10,8,12,5,5,6,2156,2081,,,,0.36,0.287,0.53,54.2,59.1,,10.4,0.498,18.4,,0.245
Stephen F. Austin,29,15,14,0.517,-5.54,-6.38,8,8,10,5,5,8,1936,1805,,,,0.379,0.287,0.546,50.7,55.6,,3.8,0.51,19.7,,0.268
Stetson,31,11,20,0.355,-13.86,-3.86,6,12,8,5,2,14,2056,2245,,,,0.392,0.351,0.52,48.1,47.6,,5.2,0.473,20,,0.287
Stony Brook,29,9,20,0.31,-10.3,-5.55,4,12,4,9,5,10,1737,1866,,,,0.353,0.25,0.474,50.5,40.6,,3.6,0.436,18.6,,0.235
Syracuse,35,24,11,0.686,14.04,6.47,10,6,18,4,5,5,2645,2380,,,,0.42,0.348,0.544,50.7,58.1,,11.2,0.506,17.8,,0.292
Temple,30,12,18,0.4,2.88,1.91,6,10,9,5,3,11,2251,2222,,,,0.362,0.388,0.562,46.7,55.9,,5,0.531,15.9,,0.256
Tennessee-Martin,31,8,23,0.258,-13.91,-6.55,5,15,5,9,2,13,1957,2166,,,,0.435,0.328,0.503,50.9,59.4,,2.8,0.462,20.8,,0.291
Tennessee State,32,12,20,0.375,-11.82,-5.69,8,12,7,6,3,14,2065,2222,,,,0.356,0.384,0.49,50.6,52.6,,5.9,0.453,17.4,,0.238
Tennessee Tech,32,19,13,0.594,-2.65,-4.85,13,7,13,1,5,9,2404,2295,,,,0.476,0.333,0.546,52.2,52.9,,5.9,0.51,18.4,,0.318
Tennessee NCAA,35,24,11,0.686,14.97,9.15,10,6,16,0,3,7,2831,2627,,,,0.379,0.409,0.548,49.2,55.7,,5.4,0.523,16.1,,0.248
Texas A&M-Corpus Christi NCAA,33,26,7,0.788,3.07,-4.8,14,2,13,1,8,5,2615,2302,,,,0.485,0.274,0.608,54.9,65.2,,5.2,0.577,20,,0.343
Texas A&M NCAA,34,27,7,0.794,21.27,5.13,13,3,18,1,7,3,2570,2021,,,,0.413,0.28,0.589,53.6,65.1,,6.2,0.557,16,,0.296
Texas-Arlington,30,13,17,0.433,-11.84,-6.42,8,8,9,3,4,13,2225,2292,,,,0.39,0.309,0.549,51,53.6,,4.4,0.518,20.7,,0.266
Texas Christian,30,13,17,0.433,-1.59,2.11,4,12,10,7,2,9,1892,2003,,,,0.437,0.341,0.498,50,58,,6.6,0.47,21.2,,0.263
Texas-El Paso,31,14,17,0.452,4.27,0.24,6,10,11,7,1,9,2344,2219,,,,0.446,0.336,0.518,50.4,60.1,,6.1,0.479,18,,0.299
Texas-Rio Grande Valley,29,14,15,0.483,-9.18,-5.53,,,11,2,2,12,1984,1937,,,,0.416,0.405,0.572,49.8,68.1,,3.4,0.535,20.3,,0.301
Texas-San Antonio,29,7,22,0.241,-15.47,-4.07,3,13,6,9,1,13,1656,1924,,,,0.406,0.273,0.471,47.1,53.6,,5.4,0.442,22.1,,0.239
Texas Southern,31,14,17,0.452,-19.59,-11.7,9,9,7,6,6,10,2017,2207,,,,0.477,0.185,0.482,52.5,48.2,,4.8,0.44,21.9,,0.302
Texas State,29,9,20,0.31,-17.47,-6.11,4,12,8,7,1,13,2249,2478,,,,0.432,0.372,0.516,46.8,54.7,,4.6,0.474,20.4,,0.296
Texas Tech NCAA,34,21,13,0.618,9.71,7.16,9,7,13,3,6,5,2437,2349,,,,0.397,0.272,0.552,46.5,53.7,,3.3,0.509,15.2,,0.293
Texas NCAA,35,25,10,0.714,15.6,6.12,12,4,15,1,6,5,2860,2528,,,,0.393,0.366,0.557,51.4,49.7,,9,0.516,14.5,,0.289
Toledo,32,19,13,0.594,2.71,1.83,14,2,10,1,6,8,2207,2179,,,,0.333,0.369,0.535,46.5,49.8,,4.2,0.508,17.9,,0.224
Towson,32,15,17,0.469,-1.17,-0.56,8,10,9,5,4,10,2175,2173,,,,0.36,0.352,0.542,48.9,61.6,,7.4,0.503,16.9,,0.265
Troy,30,13,17,0.433,-8.39,-5.25,8,10,7,5,3,11,2223,2278,,,,0.274,0.424,0.532,46.9,47.3,,5.9,0.503,15.2,,0.197
Tulane,30,17,13,0.567,0.49,0.63,9,7,11,4,5,8,2076,2041,,,,0.459,0.24,0.528,50.4,61.4,,10.6,0.489,18.8,,0.308
Tulsa,31,20,11,0.645,4.44,-0.11,9,7,15,3,4,6,2120,1932,,,,0.421,0.347,0.527,55,58.2,,10.1,0.484,20.1,,0.298
UCLA NCAA,36,30,6,0.833,20.9,9.84,15,3,16,0,6,4,2503,2081,,,,0.328,0.332,0.563,52.4,54.9,,6.4,0.543,16.5,,0.217
Utah State,35,23,12,0.657,3.8,1.19,9,7,13,1,5,11,2466,2348,,,,0.333,0.292,0.562,51.1,57,,4.3,0.521,18.2,,0.26
Utah,30,11,19,0.367,2.06,5.06,6,10,9,6,1,11,2075,2165,,,,0.397,0.356,0.594,52.8,58.2,,4.3,0.559,20,,0.294
Valparaiso,31,16,15,0.516,-1.24,-1.3,9,5,9,3,6,9,2056,2035,,,,0.34,0.385,0.568,50.5,58,,5.6,0.535,21.5,,0.25
Vanderbilt NCAA,34,22,12,0.647,12.76,7.79,10,6,14,3,5,6,2594,2387,,,,0.324,0.425,0.567,48.4,63.9,,4.8,0.536,15.6,,0.236
Vermont,33,25,8,0.758,0.06,-5.15,15,1,9,4,13,4,2310,2138,,,,0.421,0.269,0.534,56.7,55.3,,7.1,0.5,19.7,,0.283
Villanova NCAA,33,22,11,0.667,16.13,9.16,9,7,10,4,9,4,2392,2132,,,,0.417,0.385,0.546,53.3,54.1,,6.3,0.492,17.1,,0.325
Virginia Commonwealth NCAA,35,28,7,0.8,9.5,0.2,16,2,15,2,11,2,2626,2298,,,,0.404,0.309,0.559,50.9,52.7,,5.9,0.519,14.4,,0.294
VMI,33,14,19,0.424,-8.72,-5.44,5,9,8,5,4,11,3331,3240,,,,0.302,0.513,0.54,44.1,57.9,,,0.518,15.1,,0.199
Virginia Tech NCAA,34,22,12,0.647,14.35,8.26,10,6,13,2,5,6,2428,2181,,,,0.394,0.237,0.54,49.6,50.7,,8.7,0.511,14.2,,0.26
Virginia NCAA,32,21,11,0.656,12.89,7.96,11,5,16,1,4,6,2463,2267,,,,0.422,0.38,0.552,53.1,50.7,,5.4,0.506,16.4,,0.313
Wagner,30,11,19,0.367,-12.42,-7.56,8,10,7,7,4,12,2132,2232,,,,0.369,0.389,0.529,49.7,52.8,,4.6,0.501,17.8,,0.241
Wake Forest,31,15,16,0.484,6.08,9.31,5,11,12,5,2,10,2288,2369,,,,0.469,0.322,0.542,50.1,52.7,,5.3,0.514,19.2,,0.297
Washington State NCAA,34,26,8,0.765,13.33,6,13,5,12,2,8,4,2273,2024,,,,0.334,0.297,0.552,48.2,57.1,,8.8,0.52,14.7,,0.239
Washington,32,19,13,0.594,10.03,6.5,8,10,17,2,1,10,2449,2336,,,,0.329,0.266,0.549,56.6,54,,5,0.515,18.3,,0.238
Weber State NCAA,32,20,12,0.625,-4.03,-3.33,11,5,13,2,6,8,2266,2214,,,,0.511,0.289,0.577,50.7,56.6,,4.3,0.546,20.8,,0.343
West Virginia,36,27,9,0.75,14.43,5.43,9,7,17,1,3,6,2610,2245,,,,0.277,0.492,0.573,47.3,68.7,,6.6,0.55,15.1,,0.197
Western Carolina,31,11,20,0.355,-9.42,-1.66,7,11,6,5,4,13,2180,2281,,,,0.313,0.377,0.512,48.8,52.4,,3.1,0.481,16.6,,0.214
Western Illinois,30,7,23,0.233,-15.02,-4.88,3,11,5,9,1,11,1872,2114,,,,0.397,0.332,0.503,48,50.5,,3.9,0.464,19.1,,0.266
Western Kentucky,33,22,11,0.667,1,-3.71,12,6,12,3,8,6,2580,2386,,,,0.365,0.345,0.583,51,49.2,,4.9,0.551,18.3,,0.264
Western Michigan,32,16,16,0.5,2.11,2.04,9,7,11,2,3,10,2287,2254,,,,0.469,0.36,0.556,51.8,50.6,,3,0.511,19.4,,0.338
Wichita State,31,17,14,0.548,10.05,6.36,8,10,11,4,5,7,2128,1988,,,,0.363,0.369,0.559,51.8,62.1,,5.5,0.526,16.4,,0.258
William & Mary,30,15,15,0.5,-3.8,-2.53,8,10,11,5,4,9,1906,1926,,,,0.365,0.412,0.536,50,57.6,,3.7,0.502,19.2,,0.253
