,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Texas Tech NCAA,32,26,6,0.813,21.41,7.6,14,4,17,1,6,3,2339,1897,,1285,837,1774,0.472,232,630,0.368,433,595,0.728,282,1092,429,232,157,396,567
Texas,33,17,16,0.515,15.38,11.56,8,10,12,6,2,8,2343,2217,,1330,826,1904,0.434,287,837,0.343,404,572,0.706,327,1115,422,201,137,362,558
Toledo,32,25,7,0.781,8.89,0.69,13,5,14,2,8,4,2473,2178,,1290,878,1931,0.455,316,832,0.38,401,520,0.771,322,1249,526,165,146,393,502
Towson,32,10,22,0.313,-8.09,-3.22,6,12,5,8,4,8,2170,2294,,1310,810,1860,0.435,180,550,0.327,370,531,0.697,389,1183,318,154,94,390,562
Troy,30,12,18,0.4,-5.86,-0.75,5,13,8,8,4,10,2179,2242,,1210,773,1719,0.45,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523
Tulane,31,4,27,0.129,-6.87,3.49,0,18,3,12,0,11,2082,2403,,1240,733,1784,0.411,213,670,0.318,403,585,0.689,298,1130,444,147,109,467,535
Tulsa,32,18,14,0.563,4.55,3.77,8,10,14,3,3,8,2296,2271,,1290,776,1732,0.448,222,652,0.34,522,751,0.695,239,1119,430,176,76,404,529
UCLA,33,17,16,0.515,7.27,6.87,9,9,13,5,3,7,2580,2567,,1335,919,2012,0.457,256,721,0.355,486,768,0.633,380,1361,472,194,135,467,563
Utah State NCAA,34,28,6,0.824,12.74,0.8,15,3,14,1,9,4,2692,2271,,1370,940,1983,0.474,267,752,0.355,543,727,0.747,366,1368,583,211,142,428,632
Utah Valley,34,25,9,0.735,3.52,-2.23,12,4,13,1,8,7,2640,2408,,1360,906,1868,0.485,277,719,0.385,551,757,0.728,301,1227,462,195,84,467,600
Utah,31,17,14,0.548,6.19,5.16,11,7,10,5,6,5,2343,2311,,1245,805,1735,0.464,298,806,0.37,435,616,0.706,317,1096,440,144,80,409,549
Valparaiso,33,15,18,0.455,-3.16,-0.78,7,11,8,7,5,8,2205,2187,,1335,802,1783,0.45,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546
Vanderbilt,32,9,23,0.281,3.91,8.12,0,18,8,10,1,10,2180,2315,,1285,736,1750,0.421,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568
Vermont NCAA,33,27,6,0.818,4.88,-4.69,14,2,16,2,11,4,2439,2067,,1330,841,1834,0.459,257,729,0.353,500,665,0.752,300,1161,390,186,133,361,541
Villanova NCAA,34,25,9,0.735,15.32,7.94,13,5,13,2,5,6,2532,2281,,1375,840,1912,0.439,361,1023,0.353,491,675,0.727,357,1200,485,184,103,371,558
Virginia Commonwealth NCAA,32,25,7,0.781,12.52,2.68,16,2,16,1,8,4,2286,1971,,1290,801,1811,0.442,229,745,0.307,455,652,0.698,347,1174,444,255,145,446,634
VMI,32,11,21,0.344,-10.23,0.36,4,14,8,7,2,13,2433,2617,,1290,843,1973,0.427,323,898,0.36,424,581,0.73,280,1110,442,217,61,390,541
Virginia Tech NCAA,32,24,8,0.75,19.85,7.94,12,6,14,2,5,5,2368,1987,,1290,824,1732,0.476,307,779,0.394,413,545,0.758,285,1043,491,213,74,363,489
Virginia NCAA,32,29,3,0.906,26.62,9.84,16,2,15,1,10,1,2299,1762,,1285,820,1715,0.478,271,662,0.409,388,520,0.746,284,1112,464,180,122,289,469
Wagner,30,13,17,0.433,-12.62,-7.26,8,10,7,7,6,10,1974,2044,,1205,655,1696,0.386,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639
Wake Forest,31,11,20,0.355,1.84,9.09,4,14,8,8,1,10,2119,2344,,1250,714,1812,0.394,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555
Washington State,32,11,21,0.344,-1.68,2.2,4,14,9,7,2,8,2393,2517,,1280,833,1861,0.448,301,828,0.364,426,564,0.755,276,1076,476,165,93,440,554
Washington NCAA,34,26,8,0.765,11.85,6.41,15,3,15,1,7,4,2374,2189,,1365,835,1845,0.453,254,734,0.346,450,648,0.694,322,1076,397,305,193,452,625
Weber State,33,18,15,0.545,-4.29,-6.03,11,9,10,5,5,7,2617,2454,,1330,920,1934,0.476,249,684,0.364,528,708,0.746,220,1177,382,180,140,382,608
West Virginia,34,14,20,0.412,7.2,10.94,4,14,10,6,0,10,2487,2614,,1380,841,2034,0.413,253,798,0.317,552,808,0.683,489,1338,454,210,118,535,684
Western Carolina,32,7,25,0.219,-8.92,0.69,4,14,4,8,3,14,2304,2563,,1295,792,1744,0.454,296,800,0.37,424,628,0.675,303,1135,389,135,53,577,671
Western Illinois,31,10,21,0.323,-9.87,-5.01,4,12,7,6,2,14,2198,2272,,1245,818,1859,0.44,241,626,0.385,321,440,0.73,254,1100,319,165,132,353,488
Western Kentucky,34,20,14,0.588,3.45,1.27,11,7,10,4,6,8,2429,2355,,1380,853,1910,0.447,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,527
Western Michigan,32,8,24,0.25,-5.89,1.85,2,16,5,9,2,14,2246,2439,,1300,774,1822,0.425,228,723,0.315,470,681,0.69,345,1197,373,147,78,490,564
Wichita State,33,19,14,0.576,6.8,5.28,10,8,10,4,4,7,2333,2283,,1325,828,2037,0.406,247,797,0.31,430,592,0.726,411,1247,452,158,111,391,638
William & Mary,31,14,17,0.452,-4.48,-1.78,10,8,9,5,5,11,2321,2385,,1265,841,1773,0.474,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516
Winthrop,30,18,12,0.6,-2.94,-3.79,10,6,11,3,7,8,2499,2358,,1210,855,1878,0.455,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,534
Wisconsin NCAA,33,23,10,0.697,19.05,11.41,14,6,12,3,8,5,2279,2027,,1345,854,1885,0.453,235,642,0.366,336,518,0.649,269,1162,421,169,139,314,496
Wofford NCAA,33,29,4,0.879,13.8,0.14,18,0,15,1,11,3,2739,2165,,1330,997,2022,0.493,364,874,0.416,381,545,0.699,350,1176,507,227,99,359,557
Wright State,35,21,14,0.6,3.34,-0.85,13,5,15,2,5,7,2561,2365,,1405,885,2029,0.436,281,818,0.344,510,692,0.737,382,1230,483,214,72,402,545
Wyoming,32,8,24,0.25,-9.44,0.5,4,14,6,10,1,11,2105,2411,,1285,690,1656,0.417,248,720,0.344,477,660,0.723,167,983,331,176,88,450,588
Xavier,33,18,15,0.545,9.67,8.39,9,9,12,5,4,7,2372,2330,,1335,862,1843,0.468,231,694,0.333,417,608,0.686,343,1192,488,179,125,430,518
Yale NCAA,29,22,7,0.759,5.46,-1.72,10,4,11,2,8,5,2353,2123,,1175,866,1740,0.498,222,597,0.372,399,542,0.736,249,1119,495,172,126,383,494
Youngstown State,32,12,20,0.375,-7.68,-1.95,8,10,6,7,5,11,2415,2526,,1305,879,2059,0.427,303,893,0.339,354,505,0.701,418,1209,449,210,115,423,656
